Country,Measure Reference,Measure Name,Measure Description,Investment/Reform,Milestone/Target Reference,Milestone/Target Name,Milestone/Target Description,Milestone or Target,Loans/Grants,Completion Year-Quarter,Qualitative Indicator,Unit of Measure,Baseline,Goal,Measure CSR Reference List,Status,Instalment Nr,Disbursement Date,Policy Pillars / REPowerEU
Austria,AT-C[C1]-R[1B2],Introduction of 1-2-3 climate ticket,"The objective of this reform is to facilitate sustainable public transport between regions by creating a reasonably priced, simple and consistent ticketing offer.
The reform consists of developing a flat-rate season ticket, valid across regions in Austria, with the aim to lower the costs and incentivise the use of public transport.
The implementation of the measure is expected to start by 30 September 2021 and shall be completed by 31 December 2021 for the national and/or regional climate ticket category. All 1-2-3 tickets are expected to be available beyond 2021.",Reform,AT-C[C1]-R[1B2]-M[12],Introduction of 1-2-3 climate ticket,National and/or regional categories of the 1-2-3 climate ticket are available for customers to buy and use.,milestone,Grants,2021-Q4,The first 1-2-3 climate tickets shall be introduced on the market.,-,-,-,2019.CSR3; 2020.CSR3; 2022.CSR4; 2023.CSR4; 2024.CSR4,Fulfilled,1,04/20/2023,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
Austria,AT-C[C1]-I[1B3],Zero-emission buses,"The objective of this investment is to lower the emissions of the public transport system by increasing the use of zero-emission buses.
The investment consists of funding for buses equipped with full electric or hydrogen technology.",Investment,AT-C[C1]-I[1B3]-M[13],Launch of the zero-emission buses support programme,"The call for expression of interest has been launched. The call shall enable transport associations, transport companies and other potential beneficiaries to submit their applications (through the Settlement Office’s digital submission portal). Eligible projects shall include zero-emission buses and the infrastructure to operate the buses.",milestone,Grants,2022-Q1,The call for expression of interest has been publicly announced.,-,-,-,2019.CSR3; 2020.CSR3; 2022.CSR4; 2023.CSR4; 2024.CSR4,Fulfilled,2,09/29/2025,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
Austria,AT-C[C1]-I[1B3],Zero-emission buses,"The objective of this investment is to lower the emissions of the public transport system by increasing the use of zero-emission buses.
The investment consists of funding for buses equipped with full electric or hydrogen technology.",Investment,AT-C[C1]-I[1B3]-M[14],Last call completed,"The last call for expression of interest by potential beneficiaries has been completed. Eligible projects shall include full electric, or hydrogen buses and the infrastructure required for their operation.",milestone,Grants,2024-Q4,Last call for expression of interest by potential beneficiaries completed,-,-,-,2019.CSR3; 2020.CSR3; 2022.CSR4; 2023.CSR4; 2024.CSR4,Fulfilled,4,11/26/2025,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
Austria,AT-C[C1]-I[1B3],Zero-emission buses,"The objective of this investment is to lower the emissions of the public transport system by increasing the use of zero-emission buses.
The investment consists of funding for buses equipped with full electric or hydrogen technology.",Investment,AT-C[C1]-I[1B3]-T[15],Buses equipped with full electric or hydrogen technology,Vehicle registration certificates for at least 521 full electric or hydrogen buses have been issued.,target,Grants,2026-Q2,-,Number,0,521,2019.CSR3; 2020.CSR3; 2022.CSR4; 2023.CSR4; 2024.CSR4,Not Assessed,6,-,-
Austria,AT-C[C1]-I[1B4],Zero-emission utility vehicles,"The objective of this investment is to lower the emissions from transport by increasing the share of zero-emission commercial vehicles.
The investment consists of funding for commercial vehicles equipped with full electric or hydrogen technology.",Investment,AT-C[C1]-I[1B4]-M[17],Launch of the support programme,"The support programme has been launched. It shall enable businesses and other business organisations, public authorities, and associations to consult all necessary documents and to submit their applications (through the Settlement Office’s digital submission portal). Eligible projects shall include zero-emission utility vehicles and the infrastructure to operate these vehicles.",milestone,Grants,2021-Q1,Launch of the support programme for zero-emission utility vehicles and their charging infrastructure (‘E-Mobilitäts-offensive 2021’ for companies).,-,-,-,2019.CSR3; 2020.CSR3; 2022.CSR4; 2023.CSR4; 2024.CSR4,Fulfilled,1,04/20/2023,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
Austria,AT-C[C1]-I[1B4],Zero-emission utility vehicles,"The objective of this investment is to lower the emissions from transport by increasing the share of zero-emission commercial vehicles.
The investment consists of funding for commercial vehicles equipped with full electric or hydrogen technology.",Investment,AT-C[C1]-I[1B4]-M[18],Last call completed,The last call for expression of interest by potential beneficiaries has been completed. Eligible projects include zero-emission utility vehicles and the infrastructure to operate these vehicles.,milestone,Grants,2024-Q4,Last call for expression of interest by potential beneficiaries completed,-,-,-,2019.CSR3; 2020.CSR3; 2022.CSR4; 2023.CSR4; 2024.CSR4,Fulfilled,4,11/26/2025,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
Austria,AT-C[C1]-I[1B4],Zero-emission utility vehicles,"The objective of this investment is to lower the emissions from transport by increasing the share of zero-emission commercial vehicles.
The investment consists of funding for commercial vehicles equipped with full electric or hydrogen technology.",Investment,AT-C[C1]-I[1B4]-T[19],Vehicles equipped with full electric or hydrogen technology,Vehicle registration certificates for at least 2 767 full electric or hydrogen N1 utility vehicles have been issued.,target,Grants,2025-Q4,-,Number,0,2767,2019.CSR3; 2020.CSR3; 2022.CSR4; 2023.CSR4; 2024.CSR4,Not Assessed,5,-,-
Austria,AT-C[C1]-I[1B5],Construction of new railways,"The objective of this investment is to expand the Trans-European Network along the Baltic-Adriatic Core-Network Corridor and the intra-regional connectivity in Austria through public transport.
The investment consists of works on projects and project segments on the Koralm railway between Styria and Carinthia including the related infrastructure.",Investment,AT-C[C1]-I[1B5]-M[21],Ongoing construction project,"Construction began in March 2020 for the Lavanttal station, a new regional railway station located in Carinthia along the Koralmbahn. The station shall allow a link between the Koralmbahn and the Lavanttalbahn.",milestone,Grants,2020-Q1,Start of construction of Lavanttal railway station,-,-,-,2019.CSR3; 2020.CSR3; 2022.CSR4; 2023.CSR4; 2024.CSR4,Fulfilled,1,04/20/2023,Green transition | Social and territorial cohesion | No
Austria,AT-C[C1]-I[1B5],Construction of new railways,"The objective of this investment is to expand the Trans-European Network along the Baltic-Adriatic Core-Network Corridor and the intra-regional connectivity in Austria through public transport.
The investment consists of works on projects and project segments on the Koralm railway between Styria and Carinthia including the related infrastructure.",Investment,AT-C[C1]-I[1B5]-M[22],Contracts awarded,"Contracts or other legal instruments awarded for works collectively covering the following projects and project segments: 
- Graz-Weitendorf 
- Feldkirchen-Weitendorf, including airport branch (Flughafenast) 
- Wettmannstätten-Deutschlandsberg 
- Deutschlandsberg-St. Andrä, including Koralmtunnel 
- St. Andrä-Aich 
- Aich-Mittlern, including Jauntal bridge 
- Mittlern-Althofen 
- Maintenance bases along the Koralm railway 
-Tunnel doors along the Koralm railway 
- Radio Block Center Graz 
- Traction power supply along the Koralm railway (Bahnstromversorgung)",milestone,Grants,2023-Q4,Contracts or other legal instruments awarded,-,-,-,2019.CSR3; 2020.CSR3; 2022.CSR4; 2023.CSR4; 2024.CSR4,Fulfilled,3,09/29/2025,Green transition | Social and territorial cohesion | No
Austria,AT-C[C1]-I[1B5],Construction of new railways,"The objective of this investment is to expand the Trans-European Network along the Baltic-Adriatic Core-Network Corridor and the intra-regional connectivity in Austria through public transport.
The investment consists of works on projects and project segments on the Koralm railway between Styria and Carinthia including the related infrastructure.",Investment,AT-C[C1]-I[1B5]-M[23],Confirmation of works,Confirmation by Schieneninfrastruktur-Dienstleistungsgesellschaft mbH (SCHIG) that the works fulfilling the contracts or other legal instruments for milestone 22 have been finalised.,milestone,Grants,2026-Q2,Confirmation of works fulfilling the contracts or other other legal instruments,-,-,-,2019.CSR3; 2020.CSR3; 2022.CSR4; 2023.CSR4; 2024.CSR4,Not Assessed,6,-,-
Austria,AT-C[C1]-R[1C1],Legal framework for increasing collection rates for beverage packaging and the supply of reusable beverage containers in retail,"The objective of this reform is to increase the reuse, collection and recycling rate of beverage packaging and containers.
The reform consists of establishing a legal basis for increasing the collection rates for plastic beverage packaging and the supply of reusable beverage containers in the retail sector.",Reform,AT-C[C1]-R[1C1]-M[24],Entry into force of the amended Waste Management Act,"The amendment to the Waste Management Act shall establish the legal basis for increasing the collection rates for plastic beverage packaging and the supply of reusable beverage containers in the retail sector. This includes quotas for separate collection of single-use beverage bottles, requirements for clear labelling of beverage packaging offered at the point of sale as single-use or reusable beverage packaging, and concrete targets for the development of reusable systems for beverage packaging; end distributors shall be required to offer a minimum number of reusable beverage packaging at the point of sale.",milestone,Grants,2021-Q4,Provision in the law indicating the entry into force of the amended Waste Management Act,-,-,-,2019.CSR3,Fulfilled,1,04/20/2023,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
Austria,AT-C[C1]-R[1C1],Legal framework for increasing collection rates for beverage packaging and the supply of reusable beverage containers in retail,"The objective of this reform is to increase the reuse, collection and recycling rate of beverage packaging and containers.
The reform consists of establishing a legal basis for increasing the collection rates for plastic beverage packaging and the supply of reusable beverage containers in the retail sector.",Reform,AT-C[C1]-R[1C1]-M[25],Entry into force of the implementing regulation,The Implementing Regulation has established the sub-legal basis for increasing collection rates for plastic beverage packaging.,milestone,Grants,2023-Q1,Entry into force of the Implementing Regulation for increasing collection rates for plastic beverage packaging,-,-,-,2019.CSR3,Fulfilled,3,09/29/2025,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
Austria,AT-C[C1]-I[1C2],Biodiversity fund,"The objective of this investment is to support the preservation and restoration of biodiversity in Austria.
The investment consists of establishing a biodiversity fund, to support projects for the conservation of biodiversity, restoration of degraded ecosystems, awareness raising activities and for biodiversity monitoring.",Investment,AT-C[C1]-I[1C2]-M[27],Entry into force of the legal framework for Biodiversity Fund,The Federal Act (amendment of the Environmental Federation Act) has established the Biodiversity Fund and set its objectives and implementation modalities.,milestone,Grants,2022-Q1,Provision in the law indicating the entry into force of the legal framework for Biodiversity Fund and National Biodiversity Strategy 2030,-,-,-,2019.CSR3,Fulfilled,2,09/29/2025,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
Austria,AT-C[C1]-I[1C2],Biodiversity fund,"The objective of this investment is to support the preservation and restoration of biodiversity in Austria.
The investment consists of establishing a biodiversity fund, to support projects for the conservation of biodiversity, restoration of degraded ecosystems, awareness raising activities and for biodiversity monitoring.",Investment,AT-C[C1]-I[1C2]-M[28],Completion of the call for projects to restore priority degraded ecosystems and protect endangered species and habitats,"Based on the funding guidelines, which shall specify the nature and scope of eligible projects and the potential beneficiaries, the implementing body has conducted a call for projects for the restoration of degraded ecosystems and the protection of endangered species and habitats. Funding projects for biodiversity monitoring have been awarded on the basis of an existing nationwide approach.",milestone,Grants,2023-Q1,The call for projects has been completed and projects have been awarded,-,-,-,2019.CSR3,Fulfilled,3,09/29/2025,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
Austria,AT-C[C1]-I[1C2],Biodiversity fund,"The objective of this investment is to support the preservation and restoration of biodiversity in Austria.
The investment consists of establishing a biodiversity fund, to support projects for the conservation of biodiversity, restoration of degraded ecosystems, awareness raising activities and for biodiversity monitoring.",Investment,AT-C[C1]-I[1C2]-T[29],Biodiversity projects,Disbursement letters have been issued by the implementing body for 20 projects for restoration of degraded ecosystems and the protection of species and habitats.,target,Grants,2026-Q2,-,Number of projects,0,20,2019.CSR3,Not Assessed,6,-,-
Austria,AT-C[C1]-I[1C3],"Investments in reverse vending systems, washing and refilling facilities, and packaging equipment","The objective of this investment is to support take-back systems in the retail sector and to increase the reuse quota of beverage containers.
The investment consists of the purchase and refurbishment of take-back systems in the retail sector and a support programme for washing and refilling facilities and packaging of reusable beverage containers.",Investment,AT-C[C1]-I[1C3]-T[30],Take-back systems,Companies in the retail sector have purchased at least 5 000 new reverse vending machines or upgraded existing ones in terms of efficient take-back and data connectivity.,target,Grants,2024-Q1,-,Number,0,5000,2019.CSR3,Fulfilled,4,11/26/2025,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
Austria,AT-C[C1]-I[1C3],"Investments in reverse vending systems, washing and refilling facilities, and packaging equipment","The objective of this investment is to support take-back systems in the retail sector and to increase the reuse quota of beverage containers.
The investment consists of the purchase and refurbishment of take-back systems in the retail sector and a support programme for washing and refilling facilities and packaging of reusable beverage containers.",Investment,AT-C[C1]-I[1C3]-T[31],"Projects for washing, refilling or packaging facilities or the acquisition of reusable beverage containers","15 letters regarding payment for washing, refilling or packaging facilities or the acquisition of reusable beverage containers have been issued to recipients by Kommunalkredit Public Consulting GmbH.",target,Grants,2026-Q1,-,Number of projects,0,15,2019.CSR3,Not Assessed,6,-,-
Austria,AT-C[C1]-I[1C4],Retrofitting of existing and construction of new sorting facilities,"The objective of this investment is to increase the plastic packaging waste sorting capacity and depth in Austria.
The investment consists of constructing new and retrofitting of existing plastic packaging waste sorting facilities.",Investment,AT-C[C1]-I[1C4]-T[32],Permit applications for construction or retrofitting,The competent authorities have received at least three applications from public and/or private waste management companies for permits for the construction or retrofitting of sorting facilities for plastic waste.,target,Grants,2022-Q3,-,Number,0,3,2019.CSR3,Fulfilled,2,09/29/2025,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
Austria,AT-C[C1]-I[1C4],Retrofitting of existing and construction of new sorting facilities,"The objective of this investment is to increase the plastic packaging waste sorting capacity and depth in Austria.
The investment consists of constructing new and retrofitting of existing plastic packaging waste sorting facilities.",Investment,AT-C[C1]-I[1C4]-T[33],New or retrofitted sorting facilities,Disbursement letters for at least eight new or retrofitted sorting facilities for plastic packaging waste have been issued by the implementing agency.,target,Grants,2026-Q2,-,Number,0,8,2019.CSR3,Not Assessed,6,-,-
Austria,AT-C[C1]-I[1C5],Promotion of the repairing of electrical and electronic equipment (repair bonus),"The objective of this investment is to raise the number of refurbished and repaired electrical and electronic equipment.
The investment consists of a support programme to incentivise the repair of electrical and electronic equipment.",Investment,AT-C[C1]-I[1C5]-M[35],Launch of the repair bonus support programme,Organisational arrangements and technical procedures for the launch of the repair bonus programme have been completed; the funding programme shall be published and opened for applications.,milestone,Grants,2022-Q1,The repair bonus support programme shall be open for applications,-,-,-,2019.CSR3,Fulfilled,2,09/29/2025,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
Austria,AT-C[C1]-I[1C5],Promotion of the repairing of electrical and electronic equipment (repair bonus),"The objective of this investment is to raise the number of refurbished and repaired electrical and electronic equipment.
The investment consists of a support programme to incentivise the repair of electrical and electronic equipment.",Investment,AT-C[C1]-I[1C5]-T[36],Repaired or renewed electrical or electronic equipment,At least 200 000 electrical or electronic devices have been repaired or renewed; the relevant information from the beneficiaries has been collected and transmitted by the funding processing office.,target,Grants,2024-Q1,-,Number,0,200000,2019.CSR3,Fulfilled,4,11/26/2025,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
Austria,AT-C[C1]-I[1C5],Promotion of the repairing of electrical and electronic equipment (repair bonus),"The objective of this investment is to raise the number of refurbished and repaired electrical and electronic equipment.
The investment consists of a support programme to incentivise the repair of electrical and electronic equipment.",Investment,AT-C[C1]-I[1C5]-T[37],Repaired or renewed electrical or electronic devices,At least 400 000 electrical or electronic devices have been repaired or renewed.,target,Grants,2025-Q4,-,Number,200000,400000,2019.CSR3,Not Assessed,5,-,-
Austria,AT-C[C1]-R[1D1],Renewables Expansion Law,"The objective of this reform is to contribute to an increase in the share of renewable energy in electricity supply.
The reform consists of the entry into force of legislation on renewable energy expansion, the installation of renewable electricty generation capacity and hydrogen production capacity.",Reform,AT-C[C1]-R[1D1]-M[38],Entry into force of the Renewables Expansion Law,"The Renewables Expansion Law, establishing framework conditions and financing of electricity generation from renewable sources",milestone,Grants,2021-Q4,Provision in the law indicating the entry into force of the Renewables Expansion Law,-,-,-,2019.CSR3; 2020.CSR3; 2022.CSR4; 2023.CSR4; 2024.CSR4,Fulfilled,1,04/20/2023,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
Austria,AT-C[C1]-R[1D1],Renewables Expansion Law,"The objective of this reform is to contribute to an increase in the share of renewable energy in electricity supply.
The reform consists of the entry into force of legislation on renewable energy expansion, the installation of renewable electricty generation capacity and hydrogen production capacity.",Reform,AT-C[C1]-R[1D1]-T[39],Additional renewable electricity generation capacity,Additional generation capacity from renewable sources of at least 1 300 MW has been installed.,target,Grants,2024-Q4,-,Number in MW,0,1300,2019.CSR3; 2020.CSR3; 2022.CSR4; 2023.CSR4; 2024.CSR4,Fulfilled,4,11/26/2025,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
Austria,AT-C[C1]-R[1D1],Renewables Expansion Law,"The objective of this reform is to contribute to an increase in the share of renewable energy in electricity supply.
The reform consists of the entry into force of legislation on renewable energy expansion, the installation of renewable electricty generation capacity and hydrogen production capacity.",Reform,AT-C[C1]-R[1D1]-M[40],Electrolyser capacity installed,"The Marktbericht by Servicestelle Erneuerbare Energien shall be published. The reported capacity of installed hydrogen electrolysers, as specified in the section “Erneuerbarer Wasserstoff” of the Marktbericht, shall be at least 28 MW.",milestone,Grants,2026-Q2,Electrolyser capacity installed,-,-,-,2019.CSR3; 2020.CSR3; 2022.CSR4; 2023.CSR4; 2024.CSR4,Not Assessed,6,-,-
Austria,AT-C[C1]-I[1D2],Transforming the economy towards climate neutrality,"The objective of this investment is to accelerate the decarbonisation of the economy.
The investment consists of calls for proposals that target transformative decarbonisation projects in economic sectors inter alia also falling under the EU Emissions Trading Scheme.",Investment,AT-C[C1]-I[1D2]-M[41],Adoption of regulatory criteria and funding guidelines,"Amendment of the regulatory criteria and funding guidelines ‘Umweltförderung im Inland’ (based on ‘Umweltförderungsgesetz’) for environmental support promoting major projects and measures for ETS installations, including eligibility criteria that ensure that the selected projects comply with the ‘Do no significant harm’ Technical Guidance (2021/C58/01). The amendment will be adopted and published by the Climate Ministry (BMK).",milestone,Grants,2021-Q3,"Amendment of the funding guidelines, including definition of eligibility criteria for assessing substantial greenhouse gas emission savings",-,-,-,2019.CSR3; 2020.CSR3; 2022.CSR4; 2023.CSR4; 2024.CSR4,Fulfilled,1,04/20/2023,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
