"Country","Recipient","Identification number <br/>(for legal persons)","Associated measure(s)","Amounts (€)","Recipient List Measure Descriptions"
"Austria","BIK Breitbandinitiative Kärnten GmbH","R110K628N","• Widespread availability of Gigabit capable access networks and creation of new symmetric Gigabit connections","2.41E+7","The objective of this investment is to increase broadband availability in those areas of Austria, which, due to a market failure, are not or are insufficiently covered by the private sector. 
The investment consists of supporting at least 250 projects providing Gigabit-capable access to at least 80 000 households."
"Austria","öGIG Fiber GmbH","R131B692U","• Widespread availability of Gigabit capable access networks and creation of new symmetric Gigabit connections","2.30E+7","The objective of this investment is to increase broadband availability in those areas of Austria, which, due to a market failure, are not or are insufficiently covered by the private sector. 
The investment consists of supporting at least 250 projects providing Gigabit-capable access to at least 80 000 households."
"Austria","RML Infrastruktur GmbH","R131S831B","• Widespread availability of Gigabit capable access networks and creation of new symmetric Gigabit connections","2.25E+7","The objective of this investment is to increase broadband availability in those areas of Austria, which, due to a market failure, are not or are insufficiently covered by the private sector. 
The investment consists of supporting at least 250 projects providing Gigabit-capable access to at least 80 000 households."
"Austria","ibis acam Bildungs GmbH","R017B571X","• Promoting re-skilling and up-skilling","2.00E+7","The objective of this investment is to improve the skills and competences of unemployed, particularly the low skilled, to prepare them for the future challenges of the labour market and to make them less vulnerable for future spells of unemployment.
The investment consists of funding of re-skilling and up-skilling measures related to basic qualifications, electronics and digital technologies, nursing, social and caring professions, environment/sustainability, project oriented transitional workplaces as well as youth coaching. The funding shall also concentrate on offering flexible training methods and focuses on supporting women. 
The implementation of the investment shall be completed by 31 December 2022."
"Austria","ZIB Training GmbH","R020U875L","• Digital investments in enterprises, 
• Promoting re-skilling and up-skilling","1.89E+7","The investment aims to encourage companies’ investments into digitalisation and to direct them towards forward-looking priority areas. 
The investment consists of a 14% investment premium granted to companies for investments in the priority areas of digitalisation. Support shall be granted for new tangible and intangible investments in depreciable capital assets of companies that are permanently established in Austria. By specifying the eligible areas to be supported with the investment premium, the measure shall encourage in particular investments in the digitalisation of business models and processes, including for Industry 4.0 and e-commerce, as well as investments in the introduction or improvement of IT and cyber security measures. The Investment Premium Act and the respective funding guidelines exclude climate-damaging investments such as into equipment or installations that directly use fossil fuels, while also stipulating that payments shall be conditional on submitting evidence that excludes negative impacts on environmental and climate objectives. The Investment Premium Act shall be amended to increase the budget available for support taking into account the RRP funds.
The implementation of the investment shall be completed by 31 December 2022.|The objective of this investment is to improve the skills and competences of unemployed, particularly the low skilled, to prepare them for the future challenges of the labour market and to make them less vulnerable for future spells of unemployment.
The investment consists of funding of re-skilling and up-skilling measures related to basic qualifications, electronics and digital technologies, nursing, social and caring professions, environment/sustainability, project oriented transitional workplaces as well as youth coaching. The funding shall also concentrate on offering flexible training methods and focuses on supporting women. 
The implementation of the investment shall be completed by 31 December 2022."
"Austria","AT + S Austria Technologie + Systemtechnik Aktiengesellschaft","R009Y901F","• Digital investments in enterprises, 
• IPCEI Microelectronics and Connectivity","1.84E+7","The investment aims to encourage companies’ investments into digitalisation and to direct them towards forward-looking priority areas. 
The investment consists of a 14% investment premium granted to companies for investments in the priority areas of digitalisation. Support shall be granted for new tangible and intangible investments in depreciable capital assets of companies that are permanently established in Austria. By specifying the eligible areas to be supported with the investment premium, the measure shall encourage in particular investments in the digitalisation of business models and processes, including for Industry 4.0 and e-commerce, as well as investments in the introduction or improvement of IT and cyber security measures. The Investment Premium Act and the respective funding guidelines exclude climate-damaging investments such as into equipment or installations that directly use fossil fuels, while also stipulating that payments shall be conditional on submitting evidence that excludes negative impacts on environmental and climate objectives. The Investment Premium Act shall be amended to increase the budget available for support taking into account the RRP funds.
The implementation of the investment shall be completed by 31 December 2022.|The objective of the investment is to increase Europe’s open strategic autonomy by supporting areas within the sector of microelectronics, as well as to develop more energy-efficient solutions, thus contributing to the achievement of climate objectives.
The investment consists of a call for expression of interest, selection of projects, and funding the approved projects in the areas of microelectronics and connectivity."
"Austria","A1 Telekom Austria Aktiengesellschaft","R024D721Z","• Widespread availability of Gigabit capable access networks and creation of new symmetric Gigabit connections","1.63E+7","The objective of this investment is to increase broadband availability in those areas of Austria, which, due to a market failure, are not or are insufficiently covered by the private sector. 
The investment consists of supporting at least 250 projects providing Gigabit-capable access to at least 80 000 households."
"Austria","Berufsförderungsinstitut Wien","R017Y7449","• Digital investments in enterprises, 
• Promoting re-skilling and up-skilling","1.33E+7","The investment aims to encourage companies’ investments into digitalisation and to direct them towards forward-looking priority areas. 
The investment consists of a 14% investment premium granted to companies for investments in the priority areas of digitalisation. Support shall be granted for new tangible and intangible investments in depreciable capital assets of companies that are permanently established in Austria. By specifying the eligible areas to be supported with the investment premium, the measure shall encourage in particular investments in the digitalisation of business models and processes, including for Industry 4.0 and e-commerce, as well as investments in the introduction or improvement of IT and cyber security measures. The Investment Premium Act and the respective funding guidelines exclude climate-damaging investments such as into equipment or installations that directly use fossil fuels, while also stipulating that payments shall be conditional on submitting evidence that excludes negative impacts on environmental and climate objectives. The Investment Premium Act shall be amended to increase the budget available for support taking into account the RRP funds.
The implementation of the investment shall be completed by 31 December 2022.|The objective of this investment is to improve the skills and competences of unemployed, particularly the low skilled, to prepare them for the future challenges of the labour market and to make them less vulnerable for future spells of unemployment.
The investment consists of funding of re-skilling and up-skilling measures related to basic qualifications, electronics and digital technologies, nursing, social and caring professions, environment/sustainability, project oriented transitional workplaces as well as youth coaching. The funding shall also concentrate on offering flexible training methods and focuses on supporting women. 
The implementation of the investment shall be completed by 31 December 2022."
"Austria","Bundesministerium für Finanzen","R017Z157T","• Digitalisation fund public administration","1.29E+7","The investment aims to contribute to developing citizen-centred service-oriented administration with a modern digital infrastructure. The objective is to accelerate digitalisation in the federal administration by financing projects with a cross-departmental impact. There is currently an increased need for consolidation in the IT landscape of the Austrian federal administration, which is very heterogeneous. Departments often use different data centres, software and hardware and service providers. The investment shall help address those issues by implementing IT consolidation in the federal government, develop IT services for citizens and businesses, and optimise procedures._x000D_
The investment consists of funding the projects submitted by federal departments and selected by the dedicated task force. At least half of these funds shall be used for cross-departmental projects to implement IT consolidation in the federal government. The other funds shall be used for projects with a cross-departmental impact for the development of citizen and business services and for projects aimed at accelerating and improving the efficiency of procedures. Examples of possible projects include electronic identity (e-ID), introduction of Single Digital Gateway, development of the Business Service Portal and implementation of the Once Only principle. _x000D_
The investment shall be implemented by 31 December 2023."
"Austria","Verkehrsverbund Vorarlberg Gesellschaft mbH","R016U533O","• Zero-emission buses","1.26E+7","The objective of this investment is to lower the emissions of the public transport system by increasing the use of zero-emission buses.
The investment consists of funding for buses equipped with full electric or hydrogen technology."
"Austria","WIENER LINIEN GmbH + Co KG","R012H745N","• Renovation Volkskundemuseum Wien and Prater Ateliers, 
• Zero-emission buses","1.22E+7","The objective of the investment is to demonstrate the combination of living building culture and environmentally conscious monument protection on the basis of selected renovation projects. 
The investment consists of the renovation of the Prater Ateliers and Volkskundemuseum Wien.|The objective of this investment is to lower the emissions of the public transport system by increasing the use of zero-emission buses.
The investment consists of funding for buses equipped with full electric or hydrogen technology."
"Austria","Gesundheit Österreich GmbH","R023K302W","• Development of the electronic 'parent-child pass' platform, 
• Enhancing primary health care, 
• Investment in the implementation of community nurses, 
• National roll-out of early childhood intervention (Frühe Hilfen) for socially disadvantaged pregnant women  their young children and families","1.14E+7","The objective of this measure is to run a screening programme for the early detection of health problems during pregnancy and early childhood. 
The investment consists of an electronic platform for the parent-child pass.|The objective of this measure is to increase the attractiveness of health and social professions in primary health care and promoting professional cooperation. 
The reform consists of the establishment of a platform on primary health care and the start of the incubator and primary health care unit accelerator programme.|The objective of the establishment of community nursing in Austria is to make a significant contribution to local, low-threshold and needs-based care; community nurses are central contact persons who coordinate various services (such as therapies and social services) and play a central role in the field of prevention._x000D_
The investment consists in the establishment of a network of community nurses close to their patients. Community nurses are qualified nurses with at least two years of professional experience. Community nurses with a further relevant qualification (such as courses on community nursing, family health nursing, public health nursing) shall preferably be employed. In the course of the project, 150 community nurses shall be posted nationwide as part of the pilot project within the framework of fixed-term employment contracts._x000D_
The implementation of the investment shall be completed by 31 December 2024.|The objectives of the measure is to support families in vulnerable situations during the period of pregnancy and beyond. It aims to promote health equality and social fairness. 
The investment consists in preventive interventions throughout the phase of early childhood by improving and extending already existing support measures, setting up regional ‘early childhood intervention’ networks and establishing cooperation among all relevant institutions and services in the field of early childhood in the districts (‘Bezirke’- Austrian subregional entity) not yet covered. 
The implementation of the measure shall be completed by 30 September 2024."
"Austria","AVL List GmbH","R009Y8345","• IPCEI Hydrogen, 
• IPCEI Microelectronics and Connectivity","1.13E+7","The objective of the investment is to help build a national and European hydrogen ecosystem contributing to the achievement of Austria’s and the EU’s climate objectives. 
The investment consists of the selection of projects following a call for expression of interest and the start of the first industrial deployment phase (FID).|The objective of the investment is to increase Europe’s open strategic autonomy by supporting areas within the sector of microelectronics, as well as to develop more energy-efficient solutions, thus contributing to the achievement of climate objectives.
The investment consists of a call for expression of interest, selection of projects, and funding the approved projects in the areas of microelectronics and connectivity."
"Austria","FTTH Netz Waldviertel Projekt GmbH","R137E321D","• Widespread availability of Gigabit capable access networks and creation of new symmetric Gigabit connections","1.12E+7","The objective of this investment is to increase broadband availability in those areas of Austria, which, due to a market failure, are not or are insufficiently covered by the private sector. 
The investment consists of supporting at least 250 projects providing Gigabit-capable access to at least 80 000 households."
"Austria","VEREIN ZUR FÖRDERUNG VON ARBEIT UND BESCHÄFTIGUNG (FAB)","R017Y2804","• Digital investments in enterprises, 
• Investment in climate-friendly town centres, 
• Promoting re-skilling and up-skilling","1.09E+7","The investment aims to encourage companies’ investments into digitalisation and to direct them towards forward-looking priority areas. 
The investment consists of a 14% investment premium granted to companies for investments in the priority areas of digitalisation. Support shall be granted for new tangible and intangible investments in depreciable capital assets of companies that are permanently established in Austria. By specifying the eligible areas to be supported with the investment premium, the measure shall encourage in particular investments in the digitalisation of business models and processes, including for Industry 4.0 and e-commerce, as well as investments in the introduction or improvement of IT and cyber security measures. The Investment Premium Act and the respective funding guidelines exclude climate-damaging investments such as into equipment or installations that directly use fossil fuels, while also stipulating that payments shall be conditional on submitting evidence that excludes negative impacts on environmental and climate objectives. The Investment Premium Act shall be amended to increase the budget available for support taking into account the RRP funds.
The implementation of the investment shall be completed by 31 December 2022.|The objective of the investment is to raise the attractiveness of town centres, notably in rural areas.
The investment consists of thermal renovation of commercial and communal buildings in town centres, connection to high-efficiency district heating and recycling of brownfield land.|The objective of this investment is to improve the skills and competences of unemployed, particularly the low skilled, to prepare them for the future challenges of the labour market and to make them less vulnerable for future spells of unemployment.
The investment consists of funding of re-skilling and up-skilling measures related to basic qualifications, electronics and digital technologies, nursing, social and caring professions, environment/sustainability, project oriented transitional workplaces as well as youth coaching. The funding shall also concentrate on offering flexible training methods and focuses on supporting women. 
The implementation of the investment shall be completed by 31 December 2022."
"Austria","Universität Wien","R017R659C","• (Digital) Research Infrastructures, 
• Biodiversity fund, 
• Digitalisation wave cultural heritage, 
• Quantum Austria — Promotion of Quantum Sciences","1.07E+7","The objective of this measure is to strategically develop research infrastructure as an important field of action of the Austrian Research, Technology and Innovation Strategy (RTI) 2030.
The investment consists of funding of (digital) research infrastructure projects for the Austrian universities.|The objective of this investment is to support the preservation and restoration of biodiversity in Austria.
The investment consists of establishing a biodiversity fund, to support projects for the conservation of biodiversity, restoration of degraded ecosystems, awareness raising activities and for biodiversity monitoring.|The objective of the investment is to launch a large digitalisation wave in cultural institutions. 
The investment consists of an update of the platform ‘Kulturpool’and a cultural and art objects digitalisation programme.|The objective of this investment is to facilitate future-oriented and transformative basic and advanced research.
The investment consists of funding research infrastructures and research collaborations for quantum computing, simulation, and communication."
"Austria","Österreichische Forschungsförderungs- gesellschaft mbH","R020X6099","• IPCEI Hydrogen, 
• IPCEI Microelectronics and Connectivity, 
• Quantum Austria — Promotion of Quantum Sciences, 
• Widespread availability of Gigabit capable access networks and creation of new symmetric Gigabit connections, 
• Zero-emission buses, 
• Zero-emission utility vehicles","1.01E+7","The objective of the investment is to help build a national and European hydrogen ecosystem contributing to the achievement of Austria’s and the EU’s climate objectives. 
The investment consists of the selection of projects following a call for expression of interest and the start of the first industrial deployment phase (FID).|The objective of the investment is to increase Europe’s open strategic autonomy by supporting areas within the sector of microelectronics, as well as to develop more energy-efficient solutions, thus contributing to the achievement of climate objectives.
The investment consists of a call for expression of interest, selection of projects, and funding the approved projects in the areas of microelectronics and connectivity.|The objective of this investment is to facilitate future-oriented and transformative basic and advanced research.
The investment consists of funding research infrastructures and research collaborations for quantum computing, simulation, and communication.|The objective of this investment is to increase broadband availability in those areas of Austria, which, due to a market failure, are not or are insufficiently covered by the private sector. 
The investment consists of supporting at least 250 projects providing Gigabit-capable access to at least 80 000 households.|The objective of this investment is to lower the emissions of the public transport system by increasing the use of zero-emission buses.
The investment consists of funding for buses equipped with full electric or hydrogen technology.|The objective of this investment is to lower the emissions from transport by increasing the share of zero-emission commercial vehicles.
The investment consists of funding for commercial vehicles equipped with full electric or hydrogen technology."
"Austria","Ledermair Holding GmbH","R017H5590","• Digitalisation of SMEs, 
• Green investments in enterprises, 
• Zero-emission buses","1.01E+7","The investment aims to help SMEs get advice on the state and opportunities of digitalisation in their business and to assist them in designing, implementing and scaling up their digitisation projects, in order to remain competitive in the future digitalised market._x000D_
The investment consists of two support programmes KMU.DIGITAL and KMU.E-Commerce. KMU.DIGITAL shall provide both advisory support and implementation support for concrete digitisation projects. Advisory support involves personalised advice to Austrian SMEs by certified consultants on four topics: (i) business models and processes (including resource optimisation), (ii) e-commerce and online marketing, (iii) IT and cyber security, and (iv) digital administration. Implementation support provides funding for the implementation of the digitisation projects for which advisory support was provided. KMU.E-Commerce shall support SMEs in the implementation of concrete e-commerce projects and shall provide funding for new investments into e-commerce and related services from external providers at a rate of 20% (up to a maximum amount of EUR 12 000 per recipient). _x000D_
The implementation of the investment shall be completed by 31 December 2023.|The investment aims to encourage companies’ investments into greening. 
The investment consists of a 14 % investment premium granted to companies for investments in the priority areas of greening (Ökologisierung).|The objective of this investment is to lower the emissions of the public transport system by increasing the use of zero-emission buses.
The investment consists of funding for buses equipped with full electric or hydrogen technology."
"Austria","TriPlast GmbH","R017O863J","• Retrofitting of existing and construction of new sorting facilities","1.00E+7","The objective of this investment is to increase the plastic packaging waste sorting capacity and depth in Austria.
The investment consists of constructing new and retrofitting of existing plastic packaging waste sorting facilities."
"Austria","ALDI SÜD Kommanditgesellschaft","R009X8750","• Investments in reverse vending systems  washing and refilling facilities  and packaging equipment","9.67E+6","The objective of this investment is to support take-back systems in the retail sector and to increase the reuse quota of beverage containers.
The investment consists of the purchase and refurbishment of take-back systems in the retail sector and a support programme for washing and refilling facilities and packaging of reusable beverage containers."
"Austria","OPmobility H2-Power Austria GmbH","R114V308V","• IPCEI Hydrogen","9.49E+6","The objective of the investment is to help build a national and European hydrogen ecosystem contributing to the achievement of Austria’s and the EU’s climate objectives. 
The investment consists of the selection of projects following a call for expression of interest and the start of the first industrial deployment phase (FID)."
"Austria","bit Schulungscenter GmbH","R079D763J","• Digital investments in enterprises, 
• Promoting re-skilling and up-skilling","9.31E+6","The investment aims to encourage companies’ investments into digitalisation and to direct them towards forward-looking priority areas. 
The investment consists of a 14% investment premium granted to companies for investments in the priority areas of digitalisation. Support shall be granted for new tangible and intangible investments in depreciable capital assets of companies that are permanently established in Austria. By specifying the eligible areas to be supported with the investment premium, the measure shall encourage in particular investments in the digitalisation of business models and processes, including for Industry 4.0 and e-commerce, as well as investments in the introduction or improvement of IT and cyber security measures. The Investment Premium Act and the respective funding guidelines exclude climate-damaging investments such as into equipment or installations that directly use fossil fuels, while also stipulating that payments shall be conditional on submitting evidence that excludes negative impacts on environmental and climate objectives. The Investment Premium Act shall be amended to increase the budget available for support taking into account the RRP funds.
The implementation of the investment shall be completed by 31 December 2022.|The objective of this investment is to improve the skills and competences of unemployed, particularly the low skilled, to prepare them for the future challenges of the labour market and to make them less vulnerable for future spells of unemployment.
The investment consists of funding of re-skilling and up-skilling measures related to basic qualifications, electronics and digital technologies, nursing, social and caring professions, environment/sustainability, project oriented transitional workplaces as well as youth coaching. The funding shall also concentrate on offering flexible training methods and focuses on supporting women. 
The implementation of the investment shall be completed by 31 December 2022."
"Austria","nöGIG Projektentwicklungs GmbH","R114G580Z","• Widespread availability of Gigabit capable access networks and creation of new symmetric Gigabit connections","8.86E+6","The objective of this investment is to increase broadband availability in those areas of Austria, which, due to a market failure, are not or are insufficiently covered by the private sector. 
The investment consists of supporting at least 250 projects providing Gigabit-capable access to at least 80 000 households."
"Austria","EEMCO GmbH","R123S735B","• IPCEI Microelectronics and Connectivity","8.37E+6","The objective of the investment is to increase Europe’s open strategic autonomy by supporting areas within the sector of microelectronics, as well as to develop more energy-efficient solutions, thus contributing to the achievement of climate objectives.
The investment consists of a call for expression of interest, selection of projects, and funding the approved projects in the areas of microelectronics and connectivity."
"Austria","illwerke vkw AG","R014K775X","• Green investments in enterprises, 
• Widespread availability of Gigabit capable access networks and creation of new symmetric Gigabit connections","7.81E+6","The investment aims to encourage companies’ investments into greening. 
The investment consists of a 14 % investment premium granted to companies for investments in the priority areas of greening (Ökologisierung).|The objective of this investment is to increase broadband availability in those areas of Austria, which, due to a market failure, are not or are insufficiently covered by the private sector. 
The investment consists of supporting at least 250 projects providing Gigabit-capable access to at least 80 000 households."
"Austria","alpha nova Betriebsgesellschaft m.b.H.","R015J8116","• Promoting re-skilling and up-skilling","7.45E+6","The objective of this investment is to improve the skills and competences of unemployed, particularly the low skilled, to prepare them for the future challenges of the labour market and to make them less vulnerable for future spells of unemployment.
The investment consists of funding of re-skilling and up-skilling measures related to basic qualifications, electronics and digital technologies, nursing, social and caring professions, environment/sustainability, project oriented transitional workplaces as well as youth coaching. The funding shall also concentrate on offering flexible training methods and focuses on supporting women. 
The implementation of the investment shall be completed by 31 December 2022."
"Austria","Soziale Initiative - Gemeinnützige Gesellschaft mit beschränkter Haftung","R017T091K","• Combating energy poverty, 
• Digital investments in enterprises, 
• Promoting re-skilling and up-skilling","7.34E+6","The objective of the investment is to contribute to a reduction in energy consumption in buildings. 
The investment consists of projects for thermal renovation or the exchange of heating systems in buildings used by social NPOs that contain dwellings for vulnerable people prone to energy poverty.|The investment aims to encourage companies’ investments into digitalisation and to direct them towards forward-looking priority areas. 
The investment consists of a 14% investment premium granted to companies for investments in the priority areas of digitalisation. Support shall be granted for new tangible and intangible investments in depreciable capital assets of companies that are permanently established in Austria. By specifying the eligible areas to be supported with the investment premium, the measure shall encourage in particular investments in the digitalisation of business models and processes, including for Industry 4.0 and e-commerce, as well as investments in the introduction or improvement of IT and cyber security measures. The Investment Premium Act and the respective funding guidelines exclude climate-damaging investments such as into equipment or installations that directly use fossil fuels, while also stipulating that payments shall be conditional on submitting evidence that excludes negative impacts on environmental and climate objectives. The Investment Premium Act shall be amended to increase the budget available for support taking into account the RRP funds.
The implementation of the investment shall be completed by 31 December 2022.|The objective of this investment is to improve the skills and competences of unemployed, particularly the low skilled, to prepare them for the future challenges of the labour market and to make them less vulnerable for future spells of unemployment.
The investment consists of funding of re-skilling and up-skilling measures related to basic qualifications, electronics and digital technologies, nursing, social and caring professions, environment/sustainability, project oriented transitional workplaces as well as youth coaching. The funding shall also concentrate on offering flexible training methods and focuses on supporting women. 
The implementation of the investment shall be completed by 31 December 2022."
"Austria","VERBUND AG","R009Z100S","• IPCEI Hydrogen","7.17E+6","The objective of the investment is to help build a national and European hydrogen ecosystem contributing to the achievement of Austria’s and the EU’s climate objectives. 
The investment consists of the selection of projects following a call for expression of interest and the start of the first industrial deployment phase (FID)."
"Austria","NXP Semiconductors Austria GmbH + Co KG","R124O794H","• Digital investments in enterprises, 
• IPCEI Microelectronics and Connectivity","6.85E+6","The investment aims to encourage companies’ investments into digitalisation and to direct them towards forward-looking priority areas. 
The investment consists of a 14% investment premium granted to companies for investments in the priority areas of digitalisation. Support shall be granted for new tangible and intangible investments in depreciable capital assets of companies that are permanently established in Austria. By specifying the eligible areas to be supported with the investment premium, the measure shall encourage in particular investments in the digitalisation of business models and processes, including for Industry 4.0 and e-commerce, as well as investments in the introduction or improvement of IT and cyber security measures. The Investment Premium Act and the respective funding guidelines exclude climate-damaging investments such as into equipment or installations that directly use fossil fuels, while also stipulating that payments shall be conditional on submitting evidence that excludes negative impacts on environmental and climate objectives. The Investment Premium Act shall be amended to increase the budget available for support taking into account the RRP funds.
The implementation of the investment shall be completed by 31 December 2022.|The objective of the investment is to increase Europe’s open strategic autonomy by supporting areas within the sector of microelectronics, as well as to develop more energy-efficient solutions, thus contributing to the achievement of climate objectives.
The investment consists of a call for expression of interest, selection of projects, and funding the approved projects in the areas of microelectronics and connectivity."
"Austria","GMO - Glasfaser GmbH","R141O237A","• Widespread availability of Gigabit capable access networks and creation of new symmetric Gigabit connections","6.67E+6","The objective of this investment is to increase broadband availability in those areas of Austria, which, due to a market failure, are not or are insufficiently covered by the private sector. 
The investment consists of supporting at least 250 projects providing Gigabit-capable access to at least 80 000 households."
"Austria","BERUFSFÖRDERUNGSINSTITUT OBERÖSTERREICH (bfi OÖ)","R017C275V","• Digital investments in enterprises, 
• Green investments in enterprises, 
• Promoting re-skilling and up-skilling","6.53E+6","The investment aims to encourage companies’ investments into digitalisation and to direct them towards forward-looking priority areas. 
The investment consists of a 14% investment premium granted to companies for investments in the priority areas of digitalisation. Support shall be granted for new tangible and intangible investments in depreciable capital assets of companies that are permanently established in Austria. By specifying the eligible areas to be supported with the investment premium, the measure shall encourage in particular investments in the digitalisation of business models and processes, including for Industry 4.0 and e-commerce, as well as investments in the introduction or improvement of IT and cyber security measures. The Investment Premium Act and the respective funding guidelines exclude climate-damaging investments such as into equipment or installations that directly use fossil fuels, while also stipulating that payments shall be conditional on submitting evidence that excludes negative impacts on environmental and climate objectives. The Investment Premium Act shall be amended to increase the budget available for support taking into account the RRP funds.
The implementation of the investment shall be completed by 31 December 2022.|The investment aims to encourage companies’ investments into greening. 
The investment consists of a 14 % investment premium granted to companies for investments in the priority areas of greening (Ökologisierung).|The objective of this investment is to improve the skills and competences of unemployed, particularly the low skilled, to prepare them for the future challenges of the labour market and to make them less vulnerable for future spells of unemployment.
The investment consists of funding of re-skilling and up-skilling measures related to basic qualifications, electronics and digital technologies, nursing, social and caring professions, environment/sustainability, project oriented transitional workplaces as well as youth coaching. The funding shall also concentrate on offering flexible training methods and focuses on supporting women. 
The implementation of the investment shall be completed by 31 December 2022."
