"Country","Date","Budget Type","Payment Request Description","Amounts (€)"
"Romania","10/06/2025","Loans","3rd Payment","6.57E+8"
"Belgium","27/05/2025","Grants","2nd Payment","8.69E+8"
"Belgium","27/05/2025","Loans","2nd Payment","4.02E+7"
"France","27/05/2025","Grants","4th Payment","3.26E+9"
"Latvia","09/05/2025","Grants","3rd Payment","2.93E+8"
"Greece","02/05/2025","Grants","5th Payment","1.35E+9"
"Greece","02/05/2025","Loans","5th Payment","1.78E+9"
"Cyprus","02/04/2025","Grants","3rd Payment","7.69E+7"
"Denmark","02/04/2025","Grants","3rd Payment","1.28E+8"
"Finland","02/04/2025","Grants","2nd Payment","3.78E+8"
"Netherlands","02/04/2025","Grants","2nd Payment","1.19E+9"
"Estonia","18/03/2025","Grants","3rd Payment","1.22E+8"
"Czechia","23/12/2024","Grants","3rd Payment","1.48E+9"
"Czechia","23/12/2024","Loans","3rd Payment","1.91E+8"
"Germany","23/12/2024","Grants","2nd Payment","1.35E+10"
"Italy","23/12/2024","Grants","6th Payment","1.78E+9"
"Italy","23/12/2024","Loans","6th Payment","6.88E+9"
"Portugal","23/12/2024","Grants","5th Payment","1.65E+9"
"Portugal","23/12/2024","Loans","5th Payment","1.25E+9"
"Romania","23/12/2024","Loans","2nd Payment (Part 2)","3.71E+7"
"Lithuania","17/12/2024","Grants","3rd Payment","1.75E+8"
"Lithuania","17/12/2024","Loans","3rd Payment","2.88E+8"
"Poland","17/12/2024","Grants","2nd Payment","4.05E+9"
"Poland","17/12/2024","Loans","2nd Payment","5.33E+9"
"Cyprus","26/11/2024","Grants","2nd Payment","1.15E+8"
"Slovakia","31/10/2024","Grants","4th Payment","7.99E+8"
"Slovenia","23/10/2024","Grants","3rd Payment","1.42E+8"
"Slovenia","23/10/2024","Loans","3rd Payment","1.16E+8"
"Greece","16/10/2024","Grants","4th Payment","9.99E+8"
"Belgium","24/09/2024","Grants","1st Payment","6.32E+8"
"Netherlands","24/09/2024","Grants","1st Payment","1.33E+9"
"Italy","05/08/2024","Grants","5th Payment","3.13E+9"
"Italy","05/08/2024","Loans","5th Payment","7.86E+9"
"Portugal","05/08/2024","Grants","4th Payment (Part 2)","4.91E+7"
"Portugal","05/08/2024","Grants","3rd Payment (Part 2)","6.71E+8"
"Spain","26/07/2024","Grants","4th Payment","9.88E+9"
"Greece","24/07/2024","Loans","4th Payment","2.33E+9"
"Croatia","19/07/2024","Grants","5th Payment","5.56E+8"
"Croatia","19/07/2024","Loans","5th Payment","2.66E+8"
"Ireland","11/07/2024","Grants","1st Payment","3.24E+8"
"France","05/06/2024","Grants","3rd Payment","7.48E+9"
"Latvia","27/05/2024","Grants","2nd Payment","3.36E+8"
"Lithuania","16/05/2024","Grants","1st Payment (Part 2)","1.49E+7"
"Malta","16/05/2024","Grants","2nd Payment","5.89E+7"
"Denmark","22/04/2024","Grants","2nd Payment","4.22E+8"
"Estonia","18/04/2024","Grants","2nd Payment","1.22E+8"
"Croatia","15/04/2024","Grants","4th Payment","1.63E+8"
"Poland","15/04/2024","Grants","1st Payment","2.70E+9"
"Poland","15/04/2024","Loans","1st Payment","3.63E+9"
"Czechia","02/04/2024","Grants","2nd Payment","7.02E+8"
"Lithuania","27/03/2024","Loans","2nd Payment","3.60E+8"
"Finland","01/03/2024","Grants","1st Payment","2.02E+8"
"Spain","01/02/2024","Grants","Pre-Financing","1.04E+9"
"Belgium","25/01/2024","Grants","Pre-Financing","1.02E+8"
"Belgium","25/01/2024","Loans","Pre-Financing","4.30E+7"
"Croatia","25/01/2024","Grants","Pre-Financing","5.52E+7"
"Croatia","25/01/2024","Loans","Pre-Financing","5.30E+8"
"Cyprus","25/01/2024","Grants","Pre-Financing","2.09E+7"
"Finland","25/01/2024","Grants","Pre-Financing","2.54E+7"
"Greece","25/01/2024","Grants","Pre-Financing","1.59E+8"
"Italy","25/01/2024","Grants","Pre-Financing","5.51E+8"
"Latvia","25/01/2024","Grants","Pre-Financing","2.69E+7"
"Romania","25/01/2024","Grants","Pre-Financing","2.88E+8"
"Spain","25/01/2024","Loans","Pre-Financing","3.40E+8"
"Hungary","17/01/2024","Grants","Pre-Financing","1.40E+8"
"Germany","28/12/2023","Grants","1st Payment","4.00E+9"
"Greece","28/12/2023","Grants","3rd Payment","1.69E+9"
"Greece","28/12/2023","Loans","3rd Payment","1.95E+9"
"Hungary","28/12/2023","Loans","Pre-Financing","7.79E+8"
"Italy","28/12/2023","Grants","4th Payment","2.04E+9"
"Italy","28/12/2023","Loans","4th Payment","1.45E+10"
"Lithuania","28/12/2023","Loans","Pre-Financing","1.10E+8"
"Poland","28/12/2023","Loans","Pre-Financing","4.50E+9"
"Portugal","28/12/2023","Grants","3rd Payment","1.10E+9"
"Portugal","28/12/2023","Grants","4th Payment","7.75E+8"
"Portugal","28/12/2023","Loans","3rd Payment","3.61E+8"
"Portugal","28/12/2023","Loans","4th Payment","2.24E+8"
"Slovakia","28/12/2023","Grants","3rd Payment","6.62E+8"
"Slovenia","28/12/2023","Grants","2nd Payment","2.26E+8"
"Slovenia","28/12/2023","Loans","2nd Payment","3.10E+8"
"Poland","27/12/2023","Grants","Pre-Financing","5.51E+8"
"France","22/12/2023","Grants","2nd Payment","1.03E+10"
"Austria","21/12/2023","Grants","Pre-Financing","4.21E+7"
"Czechia","21/12/2023","Grants","Pre-Financing","1.47E+8"
"Denmark","21/12/2023","Grants","Pre-Financing","3.93E+7"
"Lithuania","21/12/2023","Grants","Pre-Financing","3.97E+7"
"Portugal","21/12/2023","Grants","Pre-Financing","1.71E+8"
"Estonia","12/12/2023","Grants","Pre-Financing","1.80E+7"
"Malta","12/12/2023","Grants","Pre-Financing","1.40E+7"
"Slovakia","12/12/2023","Grants","Pre-Financing","8.05E+7"
"Slovenia","12/12/2023","Grants","Pre-Financing","2.44E+7"
"France","07/12/2023","Grants","Pre-Financing","5.64E+8"
"Croatia","30/11/2023","Grants","3rd Payment","7.00E+8"
"Estonia","06/11/2023","Grants","1st Payment","2.39E+8"
"Italy","09/10/2023","Grants","3rd Payment","1.00E+10"
"Italy","09/10/2023","Loans","3rd Payment","8.55E+9"
"Romania","29/09/2023","Grants","2nd Payment","1.87E+9"
"Romania","29/09/2023","Loans","2nd Payment","8.93E+8"
"Luxembourg","16/06/2023","Grants","1st Payment","2.02E+7"
"Lithuania","10/05/2023","Grants","1st Payment","5.42E+8"
"Denmark","27/04/2023","Grants","1st Payment","3.01E+8"
"Austria","20/04/2023","Grants","1st Payment","7.00E+8"
"Slovenia","20/04/2023","Grants","1st Payment","4.96E+7"
"Spain","31/03/2023","Grants","3rd Payment","6.00E+9"
"Czechia","22/03/2023","Grants","1st Payment","9.28E+8"
"Slovakia","22/03/2023","Grants","2nd Payment","7.09E+8"
"Malta","08/03/2023","Grants","1st Payment","5.23E+7"
"Portugal","08/02/2023","Grants","2nd Payment","1.71E+9"
"Portugal","08/02/2023","Loans","2nd Payment","1.09E+8"
"Greece","19/01/2023","Grants","2nd Payment","1.72E+9"
"Greece","19/01/2023","Loans","2nd Payment","1.85E+9"
"Bulgaria","16/12/2022","Grants","1st Payment","1.37E+9"
"Croatia","16/12/2022","Grants","2nd Payment","7.00E+8"
"Cyprus","02/12/2022","Grants","1st Payment","8.50E+7"
"Italy","08/11/2022","Grants","2nd Payment","1.00E+10"
"Italy","08/11/2022","Loans","2nd Payment","1.10E+10"
"Romania","27/10/2022","Grants","1st Payment","1.77E+9"
"Romania","27/10/2022","Loans","1st Payment","7.90E+8"
"Latvia","07/10/2022","Grants","1st Payment","2.01E+8"
"Slovakia","29/07/2022","Grants","1st Payment","3.99E+8"
"Spain","29/07/2022","Grants","2nd Payment","1.20E+10"
"Croatia","28/06/2022","Grants","1st Payment","7.00E+8"
"Portugal","09/05/2022","Grants","1st Payment","5.53E+8"
"Portugal","09/05/2022","Loans","1st Payment","6.09E+8"
"Italy","13/04/2022","Grants","1st Payment","1.00E+10"
"Italy","13/04/2022","Loans","1st Payment","1.10E+10"
"Greece","08/04/2022","Grants","1st Payment","1.72E+9"
"Greece","08/04/2022","Loans","1st Payment","1.85E+9"
"France","04/03/2022","Grants","1st Payment","7.40E+9"
"Finland","21/01/2022","Grants","Pre-Financing","2.71E+8"
"Romania","13/01/2022","Loans","Pre-Financing","1.94E+9"
"Spain","27/12/2021","Grants","1st Payment","1.00E+10"
"Estonia","17/12/2021","Grants","Pre-Financing","1.26E+8"
"Malta","17/12/2021","Grants","Pre-Financing","4.11E+7"
"Romania","02/12/2021","Grants","Pre-Financing","1.85E+9"
"Slovakia","13/10/2021","Grants","Pre-Financing","8.23E+8"
"Austria","28/09/2021","Grants","Pre-Financing","4.50E+8"
"Croatia","28/09/2021","Grants","Pre-Financing","8.18E+8"
"Czechia","28/09/2021","Grants","Pre-Financing","9.15E+8"
"Slovenia","17/09/2021","Grants","Pre-Financing","2.31E+8"
"Cyprus","10/09/2021","Loans","Pre-Financing","2.60E+7"
"Latvia","10/09/2021","Grants","Pre-Financing","2.37E+8"
"Cyprus","09/09/2021","Grants","Pre-Financing","1.31E+8"
"Denmark","02/09/2021","Grants","Pre-Financing","2.02E+8"
"Germany","26/08/2021","Grants","Pre-Financing","2.25E+9"
"France","19/08/2021","Grants","Pre-Financing","5.12E+9"
"Lithuania","17/08/2021","Grants","Pre-Financing","2.89E+8"
"Spain","17/08/2021","Grants","Pre-Financing","9.04E+9"
"Italy","13/08/2021","Grants","Pre-Financing","8.95E+9"
"Italy","13/08/2021","Loans","Pre-Financing","1.59E+10"
"Greece","09/08/2021","Grants","Pre-Financing","2.31E+9"
"Greece","09/08/2021","Loans","Pre-Financing","1.65E+9"
"Belgium","03/08/2021","Grants","Pre-Financing","7.70E+8"
"Luxembourg","03/08/2021","Grants","Pre-Financing","1.21E+7"
"Portugal","03/08/2021","Grants","Pre-Financing","1.81E+9"
"Portugal","03/08/2021","Loans","Pre-Financing","3.51E+8"
